Country,No_of_Arrivals,Length_of_Stay_Days,Spending_Per_Day_Baht,Spending_Per_Day_USD,Total_Receipts_Mil_Baht,Total_Receipts_Mil_USD
East Asia,5929256.0,8.27,4077.68,116.29,199948.98,5702.19
Asean,4585901.0,6.45,4222.72,120.42,124904.11,3562.04
Brunei,5796.0,7.57,1885.56,53.77,82.73,2.36
Cambodia,466917.0,6.42,4302.53,122.7,12897.33,367.81
Indonesia,230337.0,7.37,4396.63,125.38,7463.64,212.85
Laos,486382.0,10.45,4216.64,120.25,21431.86,611.2
Malaysia,1950062.0,4.11,3725.18,106.24,29856.41,851.45
Myanmar,208014.0,9.74,4222.01,120.4,8554.04,243.95
Philippines,169382.0,12.03,3589.87,102.38,7314.94,208.61
Singapore,610828.0,6.68,5173.61,147.54,21110.05,602.02
Vietnam,458183.0,7.85,4502.18,128.39,16193.11,461.8
China,258662.0,21.23,5475.55,156.15,30068.35,857.5
Hong Kong,158987.0,9.76,6375.76,181.83,9893.35,282.14
Japan,287955.0,20.58,2273.62,64.84,13473.7,384.25
Korea,535122.0,9.29,3511.15,100.13,17454.91,497.78
Taiwan,90149.0,15.43,2549.63,72.71,3546.54,101.14
Others in East Asia,12480.0,12.41,3925.83,111.96,608.02,17.34
Europe,2489677.0,20.95,2916.33,83.17,152112.6,4337.98
Austria,41642.0,19.37,3846.38,109.69,3102.52,88.48
Belgium,46942.0,20.74,3536.89,100.87,3443.43,98.2
Denmark,63001.0,19.8,2785.06,79.42,3474.13,99.08
Finland,37923.0,20.26,2761.92,78.77,2122.05,60.52
France,260283.0,19.5,2576.73,73.48,13078.27,372.97
Germany,356667.0,20.62,2546.1,72.61,18725.27,534.01
Italy,82701.0,19.11,2683.32,76.52,4240.76,120.94
Netherlands,113311.0,35.36,2805.54,80.01,11240.82,320.57
Norway,45473.0,22.3,3366.94,96.02,3414.24,97.37
Russia,427037.0,19.61,3095.61,88.28,25923.13,739.28
Spain,86077.0,23.99,2715.22,77.43,5606.9,159.9
Sweden,94055.0,21.06,2547.61,72.65,5046.27,143.91
Switzerland,79586.0,21.25,3138.68,89.51,5308.15,151.38
United Kingdom,432245.0,20.14,3031.74,86.46,26392.53,752.67
East Europe,222106.0,20.49,3260.41,92.98,14837.97,423.15
Others in Europe,100628.0,19.63,3116.52,88.88,6156.16,175.56
The Americas,586048.0,17.69,2953.16,84.22,30615.88,873.11
Argentina,7549.0,19.67,4529.96,129.19,672.65,19.18
Brazil,24598.0,18.33,4537.71,129.41,2045.97,58.35
Canada,87170.0,18.19,3128.58,89.22,4960.75,141.47
USA,438011.0,17.41,2821.88,80.47,21518.99,613.68
Others  in America,28720.0,19.37,2548.1,72.67,1417.52,40.43
South Asia,1161304.0,9.91,3754.19,107.06,43205.26,1232.14
Bangladesh,78866.0,11.45,4931.24,140.63,4452.99,126.99
India,981995.0,9.35,3760.79,107.25,34530.25,984.74
Nepal,12918.0,12.15,3806.03,108.54,597.37,17.04
Pakistan,48357.0,13.37,3627.06,103.44,2345.01,66.88
Sri Lanka,13149.0,13.53,1532.16,43.69,272.58,7.77
Others in South Asia,26019.0,17.2,2250.29,64.17,1007.06,28.72
Oceania,368698.0,15.05,3553.85,101.35,19719.96,562.38
Australia,331484.0,14.91,3524.72,100.52,17420.75,496.81
New Zealand,34672.0,16.16,3812.28,108.72,2136.02,60.92
Others  in Ociania,2542.0,18.75,3423.87,97.64,163.19,4.65
Middle East,466527.0,15.71,4490.87,128.07,32914.22,938.66
Egypt,9629.0,14.08,4959.85,141.45,672.44,19.18
Israel,145490.0,16.75,4460.36,127.2,10869.73,309.99
Kuwait,44698.0,17.85,4305.17,122.78,3434.92,97.96
Saudi Arabia,94676.0,14.58,5079.43,144.86,7011.51,199.96
U.A.E.,66003.0,12.99,3985.38,113.66,3416.98,97.45
Others in Middle East,106031.0,16.22,4365.95,124.51,7508.64,214.13
Africa,63716.0,18.66,2653.11,75.66,3154.39,89.96
South  Africa,32071.0,17.04,2555.24,72.87,1396.42,39.82
Others in Africa,31645.0,20.31,2735.25,78.0,1757.97,50.13
Grand Total,11065226.0,12.4,3510.51,100.11,481671.29,13736.41
Note: Exchange rate 1 US$ = 35.07 Baht,,,,,,
