Country,No_of_Arrivals,Length_of_Stay_Days,Spending_Per_Day_Baht,Spending_Per_Day_USD,Total_Receipts_Mil_Baht,Total_Receipts_Mil_USD
Asia and the Pacific,20177758.0,7.95,4728.62,135.85,758188.85,21782.78
South-East Asia,9822280.0,5.84,4549.39,130.7,260789.17,7492.48
Brunei,14134.0,7.61,5423.35,155.81,583.45,16.76
Cambodia,583708.0,6.29,4233.25,121.62,15548.94,446.72
Indonesia,762118.0,7.32,4721.22,135.64,26345.74,756.91
Laos,919401.0,4.15,1928.54,55.41,7353.58,211.27
Malaysia,4626422.0,4.57,4425.61,127.15,93584.79,2688.69
Myanmar,394134.0,9.92,4043.43,116.17,15802.78,454.01
Philippines,461251.0,8.7,4073.84,117.04,16346.11,469.62
Singapore,1027424.0,7.77,6236.97,179.19,49758.6,1429.57
Vietnam,1033688.0,6.87,4991.44,143.4,35465.18,1018.92
North-East Asia,7577645.0,9.73,5034.81,144.65,371032.8,10659.78
China,3521095.0,10.6,5198.51,149.35,193996.09,5573.51
Hong Kong (China),802368.0,8.01,6017.25,172.88,38678.26,1111.23
Japan,805768.0,12.22,3578.37,102.81,35243.56,1012.55
Korea (Republic of),1660042.0,7.87,5146.43,147.86,67201.12,1930.69
Macao (China),40892.0,7.39,5077.53,145.88,1534.4,44.08
Mongolia,22886.0,11.2,5414.25,155.55,1387.53,39.86
Taiwan,724594.0,8.95,5089.09,146.21,32991.84,947.86
South Asia,1998790.0,9.04,4469.53,128.41,80832.17,2322.31
Bangladesh,140657.0,10.2,5185.23,148.97,7439.43,213.73
Bhutan,20356.0,11.51,3355.47,96.4,786.18,22.59
India,1628542.0,8.52,4481.65,128.76,62220.28,1787.59
Iran,51576.0,11.45,5572.63,160.1,3289.62,94.51
Maldives,25585.0,12.75,4014.0,115.32,1309.52,37.62
Nepal,32052.0,11.26,3094.56,88.91,1116.55,32.08
Pakistan,66129.0,12.93,3819.78,109.74,3266.17,93.84
Sri Lanka,33893.0,11.51,3483.9,100.09,1359.2,39.05
Other in Asia,864.0,16.12,3303.39,94.91,45.22,1.3
Oceania,778179.0,14.43,4053.45,116.46,45534.71,1308.21
Australia,687745.0,14.29,4025.75,115.66,39562.2,1136.62
New Zealand,85897.0,15.64,4287.26,123.17,5759.77,165.48
Other in Oceania,4537.0,13.84,3388.85,97.36,212.74,6.11
Europe,5962231.0,18.95,3286.2,94.41,371301.58,10667.5
Northern Europe,1342653.0,20.97,3401.31,97.72,95775.69,2751.64
Denmark,115224.0,20.67,2827.99,81.25,6736.37,193.54
Finland,76193.0,20.14,4171.67,119.85,6400.48,183.89
Iceland,4167.0,24.48,3257.23,93.58,332.29,9.55
Ireland,67638.0,20.52,4021.64,115.54,5581.81,160.37
Norway,83952.0,25.46,3360.14,96.54,7180.74,206.3
Sweden,178259.0,24.1,2872.4,82.52,12339.09,354.5
United Kingdom,817220.0,19.97,3505.34,100.71,57204.91,1643.5
Western Europe,1838848.0,20.08,3103.33,89.16,114595.07,3292.32
Austria,88706.0,19.55,3198.53,91.89,5548.63,159.41
Belgiun,85512.0,21.28,3833.22,110.13,6974.33,200.37
France,545003.0,18.58,3212.99,92.31,32528.65,934.55
Germany,729163.0,20.62,2834.73,81.44,42621.68,1224.52
Luxembourg,4588.0,20.4,3120.06,89.64,292.03,8.39
Netherlands,229539.0,20.87,3235.17,92.95,15494.11,445.15
Switzerland,156337.0,21.3,3344.34,96.08,11135.64,319.93
Central/Eastern Europe,2050885.0,17.51,3251.79,93.42,116740.48,3353.96
Belarus,9062.0,25.14,3080.74,88.51,701.81,20.16
Bulgaria,12709.0,13.74,3294.28,94.64,575.08,16.52
Czech Republic,48940.0,17.92,3655.1,105.01,3206.11,92.11
Estonia,14900.0,19.94,3232.41,92.87,960.66,27.6
Hungary,27906.0,16.76,3714.6,106.72,1737.18,49.91
Kazakhstan,172489.0,11.08,4012.33,115.27,7672.68,220.44
Kyrgyzstan,4726.0,14.08,3173.84,91.18,211.2,6.07
Latvia,9137.0,18.75,4649.84,133.59,796.54,22.88
Lithuania,18675.0,18.67,3925.91,112.79,1368.86,39.33
Poland,121700.0,15.69,3749.42,107.72,7161.26,205.74
Romania,36150.0,12.67,4196.01,120.55,1922.89,55.24
Russian Federation,1482611.0,18.43,3122.73,89.72,85324.09,2451.36
Slovakia,21303.0,17.82,3006.66,86.38,1141.35,32.79
Ukraine,36426.0,24.19,3048.19,87.57,2686.09,77.17
Uzbekistan,34151.0,11.85,3150.68,90.52,1274.68,36.62
Southern/Medit. Europe,715642.0,16.45,3668.18,105.39,44190.34,1269.59
Croatia,6370.0,16.29,4125.47,118.52,428.13,12.3
Cyprus,2893.0,13.87,3438.0,98.77,137.95,3.96
Greece,16562.0,15.09,3507.03,100.76,876.67,25.19
Israel,217084.0,19.17,4507.39,129.5,18760.21,538.98
Italy,191983.0,17.1,3119.29,89.62,10235.69,294.07
Portugal,41101.0,13.29,3562.43,102.35,1945.66,55.9
Serbia,7255.0,16.55,3636.94,104.49,436.72,12.55
Slovenia,9828.0,18.27,3248.4,93.33,583.31,16.76
Spain,153458.0,14.96,3199.77,91.93,7346.29,211.06
Turkey,69108.0,11.49,3066.66,88.11,2434.53,69.94
Other in Europe,14203.0,16.19,4372.07,125.61,1005.18,28.88
America,1287461.0,15.04,3631.04,104.32,70327.64,2020.51
Canada,214264.0,16.25,4196.02,120.55,14612.37,419.81
Mexico,32195.0,10.26,3545.68,101.87,1171.87,33.67
United States of America,930206.0,14.94,3496.23,100.45,48603.66,1396.38
Argentina,18782.0,16.48,4217.78,121.18,1305.14,37.5
Brazil,50005.0,14.74,3645.89,104.75,2686.27,77.18
Chile,13583.0,15.91,2976.78,85.52,643.18,18.48
Colombia,8817.0,13.63,2744.48,78.85,329.77,9.47
Peru,6397.0,13.06,3571.23,102.6,298.32,8.57
Uruguay,3064.0,13.4,3518.56,101.09,144.5,4.15
Other in America,10148.0,14.46,3629.51,104.28,532.56,15.3
Middle East,600499.0,13.61,5304.01,152.38,43347.78,1245.38
Bahrain,26071.0,16.16,4819.07,138.45,2030.85,58.35
Egypt,14930.0,11.92,5570.59,160.04,991.57,28.49
Iraq,3960.0,17.06,4359.48,125.25,294.47,8.46
Jordan,11023.0,11.9,5332.64,153.21,699.58,20.1
Kuwait,79255.0,16.89,4792.26,137.68,6416.3,184.34
Lebanon,3617.0,12.35,5410.54,155.44,241.57,6.94
Oman,86488.0,12.47,5152.5,148.03,5557.48,159.67
Qatar,43162.0,15.35,5136.83,147.58,3403.11,97.77
Saudi Arabia,178113.0,12.64,5549.93,159.45,12493.16,358.93
U.A.E.,138934.0,12.79,5648.16,162.27,10036.37,288.35
