Country,No_of_Arrivals,Length_of_Stay_Days,Spending_Per_Day_Baht,Spending_Per_Day_USD,Total_Receipts_Mil_Baht,Total_Receipts_Mil_USD
Yemen,8460.0,15.04,4281.73,123.01,544.81,15.65
Other in Middle East,6486.0,14.59,6747.93,193.87,638.51,18.34
Africa,122067.0,13.35,3640.16,104.58,5933.59,170.47
Morocco,8899.0,14.85,3576.8,102.76,472.51,13.58
South  Africa,60280.0,13.53,3477.71,99.91,2835.63,81.47
Ethiopia,12845.0,11.23,4456.08,128.02,642.94,18.47
Kenya,4459.0,11.03,4049.06,116.33,199.21,5.72
Mauritius,12099.0,10.05,3615.78,103.88,439.51,12.63
Other in Africa,23485.0,15.65,3656.32,105.05,1343.79,38.61
Grand Total,28150016.0,10.75,4129.27,118.63,1249099.44,35886.65
Note: Exchange rate 1 US$ = 34.81  Baht,,,,,,
