หมายเหตุ : รายได้จากการท่องเที่ยว รวมทั้งรายได้จากนักท่องเที่ยว (Business Leisure) ที่เดินทางมาประเทศไทย ปี 2564 และนักท่องเที่ยวชาวต่างชาติที่เดินทางมาประเทศไทยก่อนปี 2564 และมีการเก็บค่าใช้จ่ายในหมวด Medical Care เนื่องจากสถานการณ์โควิด-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,
JANUARY-DECEMBER 2021,,,,,,,,,,JANUARY-DECEMBER 2021,,,,,,,,,,JANUARY-DECEMBER 2021,,,,,,,,,
Grand Total,,,,,,,,,,Inbound,,,,,,,,,,Stock,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unit : Million Baht,,,,,,,,,,Unit : Million Baht,,,,,,,,,,Unit : Million Baht
Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-
of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous
Europe,"43,570.20","7,043.69","1,207.65",52.17,"15,721.44","14,268.56","3,118.39","1,837.25",321.05,Europe,"32,271.03","5,305.97","1,160.37",52.01,"11,848.42","10,780.61","2,122.52",849.57,151.56,Europe,"11,299.17","1,737.72",47.28,0.16,"3,873.02","3,487.95",995.87,987.68,169.49
Austria,934.15,138.30,78.47,1.66,365.45,229.73,86.03,28.82,5.69,Austria,816.61,115.58,78.47,1.66,327.37,197.51,72.59,17.74,5.69,Austria,117.54,22.72,0.00,0.00,38.08,32.22,13.44,11.08,0.00
Belgium,979.78,250.94,15.69,0.26,322.28,291.89,64.73,30.76,3.23,Belgium,790.93,189.74,15.69,0.26,264.69,250.84,45.83,20.87,3.01,Belgium,188.85,61.20,0.00,0.00,57.59,41.05,18.90,9.89,0.22
Denmark,"1,381.65",278.72,58.82,0.30,512.49,395.30,81.03,48.69,6.30,Denmark,"1,080.10",216.77,58.52,0.30,374.16,344.03,61.49,19.00,5.83,Denmark,301.55,61.95,0.30,0.00,138.33,51.27,19.54,29.69,0.47
Finland,901.05,129.69,0.92,0.07,215.35,431.44,90.22,29.38,3.98,Finland,659.98,101.34,0.92,0.07,132.04,353.74,68.40,3.07,0.40,Finland,241.07,28.35,0.00,0.00,83.31,77.70,21.82,26.31,3.58
France,"5,897.02",933.79,159.52,5.41,"1,922.39","2,071.75",510.63,276.68,16.85,France,"3,325.41",587.72,140.82,5.41,"1,028.48","1,194.45",255.13,100.08,13.32,France,"2,571.61",346.07,18.70,0.00,893.91,877.30,255.50,176.60,3.53
Germany,"5,849.02",867.72,137.02,11.34,"2,238.88","1,937.08",362.79,270.85,23.34,Germany,"5,264.34",770.56,136.06,11.28,"2,089.65","1,766.64",323.52,147.15,19.48,Germany,584.68,97.16,0.96,0.06,149.23,170.44,39.27,123.70,3.86
Italy,"1,407.87",275.87,18.52,0.28,468.81,445.84,91.81,99.52,7.22,Italy,"1,018.28",206.45,17.62,0.28,319.49,330.37,64.35,75.53,4.19,Italy,389.59,69.42,0.90,0.00,149.32,115.47,27.46,23.99,3.03
Netherlands,"1,951.10",364.72,51.43,5.52,675.65,675.38,114.30,52.84,11.26,Netherlands,"1,482.51",257.88,49.45,5.43,520.16,546.10,67.66,28.02,7.81,Netherlands,468.59,106.84,1.98,0.09,155.49,129.28,46.64,24.82,3.45
Norway,"1,046.06",213.02,32.80,1.59,359.12,315.66,71.91,45.03,6.93,Norway,805.88,191.92,32.18,1.58,273.56,235.88,49.50,18.02,3.24,Norway,240.18,21.10,0.62,0.01,85.56,79.78,22.41,27.01,3.69
