Country,Total_Receipts,Shopping,Entertainment,Sightseeing,Accommodation,Food_Beverage,Local_Transport,Miscellaneous
East Asia,199948.98,45876.04,20771.34,3662.86,65891.36,43960.31,18254.14,1532.93
Asean,124904.11,26924.49,14059.76,2486.5,38802.49,29117.21,12270.7,1242.96
Brunei,82.73,12.69,5.6,1.98,17.07,33.93,10.52,0.94
Cambodia,12897.33,3738.33,1496.79,189.32,2115.89,3908.83,1197.84,250.33
Indonesia,7463.64,1224.89,1136.58,80.78,2625.67,1693.28,661.66,40.78
Laos,21431.86,4493.15,3464.87,1054.18,5863.99,3977.35,2271.62,306.7
Malaysia,29856.41,5783.78,2541.97,388.88,11470.47,6575.64,2867.92,227.75
Myanmar,8554.04,1806.08,1830.26,102.51,2006.81,2124.1,671.83,12.45
Philippines,7314.94,1761.73,683.74,112.11,2641.89,1255.16,662.7,197.61
Singapore,21110.05,3876.29,1750.87,282.96,7643.56,5233.96,2165.52,156.89
Vietnam,16193.11,4227.55,1149.08,273.78,4417.14,4314.96,1761.09,49.51
China,30068.35,10077.96,2015.77,579.83,10672.91,4849.86,1774.63,97.39
Hong Kong,9893.35,3119.96,880.85,291.12,2421.81,2215.33,849.08,115.2
Japan,13473.7,1697.52,893.73,186.09,5319.36,3635.6,1710.09,31.31
Korea,17454.91,3484.02,1970.14,104.01,7075.17,3445.93,1334.57,41.07
Taiwan,3546.54,365.08,898.03,11.28,1439.42,595.35,234.3,3.08
Others in East Asia,608.02,207.01,53.06,4.03,160.2,101.03,80.77,1.92
Europe,152112.6,21092.54,14944.84,3143.73,56132.02,40173.87,15635.9,989.7
Austria,3102.52,713.93,290.38,52.03,1114.83,570.87,293.59,66.89
Belgium,3443.43,418.37,421.05,75.23,1331.09,856.88,326.99,13.82
Denmark,3474.13,377.79,474.63,71.62,1153.55,1026.59,353.14,16.81
Finland,2122.05,510.52,153.58,7.87,658.35,634.38,156.87,0.48
France,13078.27,1859.3,1256.6,171.47,4592.99,3662.41,1511.33,24.17
Germany,18725.27,2346.37,1636.42,371.4,7136.28,5123.23,2023.98,87.59
Italy,4240.76,551.45,447.28,97.29,1382.33,1155.51,588.3,18.6
Netherlands,11240.82,1716.69,837.45,489.61,3482.63,2976.85,1576.05,161.54
Norway,3414.24,736.09,343.08,104.54,1251.98,707.06,229.39,42.1
Russia,25923.13,4315.01,2644.54,372.2,10392.78,6304.09,1819.1,75.41
Spain,5606.9,700.08,516.79,145.95,2089.72,1233.8,908.87,11.69
Sweden,5046.27,832.52,444.54,60.51,1950.4,1265.98,458.16,34.16
Switzerland,5308.15,512.74,755.28,106.66,1638.93,1720.22,544.96,29.36
United Kingdom,26392.53,2565.99,2713.41,545.23,9890.58,7636.68,2850.41,190.23
East Europe,14837.97,2035.33,1357.71,259.4,6146.81,3512.06,1361.55,165.11
Others in Europe,6156.16,900.36,652.1,212.72,1918.77,1787.26,633.21,51.74
The Americas,30615.88,4353.55,2584.31,637.41,11526.69,8119.66,3277.96,116.3
Argentina,672.65,140.48,135.91,2.74,136.91,130.77,123.98,1.86
Brazil,2045.97,744.83,141.81,48.34,604.87,321.39,184.01,0.72
Canada,4960.75,452.74,389.83,51.67,2087.56,1427.86,535.2,15.89
USA,21518.99,2831.52,1716.68,518.94,8175.2,5885.21,2297.87,93.57
Others  in America,1417.52,183.98,200.08,15.72,522.15,354.43,136.9,4.26
South Asia,43205.26,8354.09,4717.03,1075.66,13914.49,10125.21,4838.5,180.28
Bangladesh,4452.99,1257.35,593.9,111.59,1173.32,692.19,587.06,37.58
India,34530.25,6230.37,3773.03,936.63,11306.14,8310.14,3837.18,136.76
Nepal,597.37,170.02,41.69,14.72,143.26,169.21,58.4,0.07
Pakistan,2345.01,559.55,231.42,2.81,789.78,486.27,271.11,4.07
Sri Lanka,272.58,44.2,27.65,2.55,78.56,71.52,46.39,1.71
Others in South Asia,1007.06,92.6,49.34,7.36,423.43,395.88,38.36,0.09
Oceania,19719.96,3351.29,2208.11,623.8,6857.97,4709.17,1858.91,110.71
Australia,17420.75,2948.92,2081.65,517.1,5876.11,4257.21,1636.51,103.25
New Zealand,2136.02,374.88,107.7,101.96,927.98,411.51,205.53,6.46
Others  in Ociania,163.19,27.49,18.76,4.74,53.88,40.45,16.87,1.0
Middle East,32914.22,4737.13,3422.54,642.44,13300.22,7584.93,3007.85,219.11
Egypt,672.44,47.27,44.89,10.45,346.94,197.58,23.57,1.74
Israel,10869.73,1009.86,1335.11,264.46,4657.23,2537.41,974.46,91.2
Kuwait,3434.92,619.51,469.07,83.54,879.79,1074.52,294.7,13.79
Saudi Arabia,7011.51,1052.96,624.94,59.41,3318.91,1255.2,675.73,24.36
U.A.E.,3416.98,567.25,369.85,112.89,1286.44,791.82,254.93,33.8
Others in Middle East,7508.64,1440.28,578.68,111.69,2810.91,1728.4,784.46,54.22
Africa,3154.39,680.91,331.42,44.5,1108.26,632.18,343.73,13.39
South  Africa,1396.42,247.18,92.43,25.56,589.37,303.52,129.99,8.37
Others in Africa,1757.97,433.73,238.99,18.94,518.89,328.66,213.74,5.02
Grand Total,481671.29,88445.55,48979.59,9830.4,168731.01,115305.33,47216.99,3162.42
