Country,No_of_Arrivals,Length_of_Stay_Days,Spending_Per_Day_Baht,Spending_Per_Day_USD,Total_Receipts_Mil_Baht,Total_Receipts_Mil_USD
East Asia,113201.0,51.74,2075.32,64.89,31314.18,979.16
Asean,38649.0,43.95,1946.1100000000004,60.85,7881.53,246.45
    Brunei,48.0,54.61,1933.04,60.44,10.45,0.33
    Cambodia,5535.0,44.61,2618.9,81.89,929.78,29.07
    Indonesia,3702.0,73.79,2341.2499999999995,73.21,904.26,28.28
    Laos,1016.0,42.65,1774.2399999999998,55.48,205.3700000000001,6.42
    Malaysia,6988.0,44.74,2027.76,63.41,976.93,30.55
    Myanmar,9110.0,64.46,2067.2500000000005,64.64,1732.0299999999995,54.16
    Philippines,2859.0,32.24,1559.65,48.77,1813.04,56.69
    Singapore,7268.0,43.82,2099.89,65.66,738.3,23.09
    Vietnam,2123.0,42.66,1615.0400000000002,50.5,571.37,17.87
China,26558.0,47.94,2270.17,70.99,9162.82,286.51
Hong Kong,2365.0,58.09,1960.29,61.3,520.13,16.26
Japan,24382.0,70.3,1961.01,61.32,8880.51,277.68
Korea,14800.0,48.28,2208.45,69.06,3635.690000000001,113.68
Taiwan,3819.0,52.52,2156.1600000000003,67.42,1018.7800000000002,31.86
Others in East Asia,2628.0,28.13,2380.01,74.42,214.72,6.71
Europe,277436.0,37.65,2381.99,74.48,43570.2,1362.39
Austria,6307.0,37.5,2780.08,86.93,934.1500000000002,29.21
Belgium,6217.0,40.74,2660.07,83.18,979.7800000000002,30.64
Denmark,9279.0,36.81,2630.1600000000003,82.24,1381.65,43.2
Finland,6571.0,39.29,2039.72,63.78,901.05,28.17
France,27135.0,37.69,2159.11,67.51,5897.02,184.39
Germany,50589.0,38.13,2532.54,79.19,5849.02,182.89
Italy,6818.0,39.87,2205.74,68.97,1407.87,44.02
Netherlands,9924.0,40.74,2383.13,74.52,1951.1,61.01
Norway,6565.0,39.46,2330.94,72.89,1046.06,32.71
Russia,31565.0,31.84,2636.51,82.44,5369.33,167.89
Spain,4065.0,39.67,2260.7000000000003,70.69,613.3900000000001,19.18
Sweden,18574.0,36.49,2138.69,66.87,2039.12,63.76
Switzerland,13539.0,41.1,2082.64,65.12,1839.04,57.5
United Kingdom,42853.0,38.68,2333.28,72.96,8602.55,268.99
East Europe,28409.0,37.35,2493.14,77.96,3321.01,103.84
Others in Europe,9026.0,41.15,2818.6,88.13,1438.06,44.97
The Americas,54180.0,51.99,2640.66,82.57,10748.26,336.09
Argentina,344.0,57.2,2619.73,81.92,59.79,1.87
Brazil,1671.0,47.88,3228.23,100.94,302.96000000000004,9.47
Canada,7238.0,50.8,2359.4,73.78,1453.7499999999998,45.46
USA,43444.0,52.43,2665.39,83.34,8569.76,267.97
Others  in America,1483.0,49.19,2961.17,92.59,362.0,11.32
South Asia,18424.0,46.72,2144.74,67.06,4560.509999999999,142.6
Bangladesh,2202.0,33.1,4737.64,148.14,558.38,17.46
India,10864.0,45.3,1913.9100000000003,59.85,2855.44,89.29
Nepal,740.0,71.02,2080.53,65.06,213.06,6.66
Pakistan,1715.0,64.2,1972.93,61.69,367.07,11.48
Sri Lanka,825.0,48.57,1909.33,59.7,142.81,4.47
Others in South Asia,2078.0,48.8,2763.7699999999995,86.42,423.75,13.25
Oceania,12433.0,44.21,2406.65,75.25,2627.77,82.17
Australia,10920.0,43.7,2417.9200000000005,75.61,2218.92,69.38
New Zealand,1160.0,47.06,2342.73,73.25,353.32000000000005,11.05
Others  in Oceania,353.0,47.41,2375.72,74.29,55.53,1.74
Middle East,31324.0,29.38,3289.7200000000003,102.87,4265.240000000001,133.37
Egypt,595.0,42.74,1617.0500000000002,50.56,85.9,2.69
Israel,14549.0,27.23,3140.38,98.2,1493.09,46.69
Kuwait,3757.0,30.4,2738.96,85.64,591.94,18.51
Saudi Arabia,569.0,31.8,2257.41,70.59,70.14,2.19
U.A.E.,4188.0,21.9,3066.98,95.9,370.16,11.57
Others in Middle East,7666.0,33.83,4134.12,129.27,1654.01,51.72
Africa,3769.0,49.67,2060.67,64.43,1000.19,31.27
South  Africa,1164.0,42.1,2014.01,62.98,312.33,9.77
Others in Africa,2605.0,54.26,2082.56,65.12,687.86,21.51
Grand Total,510767.0,43.32,2310.59,72.25,98086.35,3067.05
Note: 1) Exchange rate 1 US$ = 31.98 Baht,,,,,,
หมายเหตุ : 1) จำนวนนักท่องเที่ยว เป็นข้อมูลของนักท่องเที่ยวชาวต่างชาติ (Business Leisure) ที่เดินทางมาประเทศไทยในปี 2564,,,,,,
                2) วันพักเฉลี่ย ค่าใช้จ่ายเฉลี่ย และรายได้จากการท่องเที่ยว เป็นข้อมูลของนักท่องเที่ยวที่เดินทางมาประเทศไทยในปี 2564  และนักท่องเที่ยวชาวต่างชาติที่เดินทางมาประเทศไทยก่อนปี 2564,,,,,,
