Country,Total_Receipts,Shopping,Entertainment,Sightseeing,Accommodation,Food_Beverage,Local_Transport,Medical_Care,Miscellaneous
Asia and the Pacific,758188.85,170482.26,60327.6,20651.44,249252.13,163824.25,72653.85,16688.65,4308.67
South-East Asia,260789.17,69940.9,23490.42,5889.45,70201.64,56724.56,24695.01,7763.65,2083.54
Brunei,583.45,187.83,33.3,3.87,168.73,121.57,63.59,3.69,0.87
Cambodia,15548.94,4049.44,1237.47,240.65,4014.43,2945.09,1400.18,1516.42,145.26
Indonesia,26345.74,6965.44,2169.09,216.94,8345.09,5192.4,2683.36,688.54,84.88
Laos,7353.58,1751.86,390.19,263.47,1469.28,1823.66,791.31,797.77,66.04
Malaysia,93584.79,25857.57,11872.78,3147.82,21092.43,20933.76,7976.33,1823.03,881.07
Myanmar,15802.78,4539.83,789.41,195.98,4156.46,3047.63,1493.74,1496.67,83.06
Philippines,16346.11,4377.84,1347.11,689.4,5296.09,2949.17,1549.55,11.73,125.22
Singapore,49758.6,12025.73,3160.62,640.97,15626.14,11749.99,5327.89,1017.35,209.91
Vietnam,35465.18,10185.36,2490.45,490.35,10032.99,7961.29,3409.06,408.45,487.23
North-East Asia,371032.8,78373.91,25764.84,10416.35,135806.56,80015.77,34593.03,4515.6,1546.74
China,193996.09,38968.73,15339.01,7451.96,74714.73,38763.25,17724.67,93.24,940.5
Hong Kong (China),38678.26,9206.53,3268.11,994.64,11184.02,9716.81,3997.79,168.29,142.07
Japan,35243.56,5848.86,1497.35,577.6,15141.2,7789.93,3764.8,542.51,81.31
Korea (Republic of),67201.12,15911.86,3581.95,672.99,23751.9,15250.45,5654.29,2248.96,128.72
Macao (China),1534.4,136.16,37.74,9.31,1021.91,235.75,84.94,7.2,1.39
Mongolia,1387.53,510.4,52.73,70.03,410.71,233.25,95.8,12.81,1.8
Taiwan,32991.84,7791.37,1987.95,639.82,9582.09,8026.33,3270.74,1442.59,250.95
South Asia,80832.17,15051.1,7700.58,2716.09,27340.04,17235.54,9190.76,1090.96,507.1
Bangladesh,7439.43,2189.65,461.87,202.13,2039.0,1247.05,972.36,302.29,25.08
Bhutan,786.18,162.36,39.82,11.33,309.88,182.3,76.58,2.52,1.39
India,62220.28,10349.11,6735.83,2331.94,21564.63,13080.46,6934.71,781.88,441.72
Iran,3289.62,609.01,91.07,114.87,1083.75,900.34,475.42,0.0,15.16
Maldives,1309.52,315.39,28.85,10.07,517.39,279.73,154.45,2.35,1.29
Nepal,1116.55,236.42,49.23,21.66,351.54,346.79,107.05,0.0,3.86
Pakistan,3266.17,715.38,268.46,6.12,1020.4,924.29,312.46,0.5,18.56
