Country,Total_Receipts,Shopping,Entertainment,Sightseeing,Accommodation,Food_Beverage,Local_Transport,Medical_Care,Miscellaneous
Sri Lanka,1359.2,459.64,23.93,15.73,437.52,267.95,153.09,1.34,0.0
Other in Asia,45.22,14.14,1.52,2.24,15.93,6.63,4.64,0.08,0.04
Oceania,45534.71,7116.35,3371.76,1629.55,15903.89,9848.38,4175.05,3318.44,171.29
Australia,39562.2,6163.82,3029.63,1360.86,13757.74,8555.94,3520.79,3009.04,164.38
New Zealand,5759.77,916.76,336.48,264.89,2062.18,1230.8,636.69,306.04,5.93
Other in Oceania,212.74,35.77,5.65,3.8,83.97,61.64,17.57,3.36,0.98
Europe,371301.58,50691.69,23149.85,11242.42,146410.23,93129.32,38331.0,6915.32,1431.75
Northern Europe,95775.69,12116.96,6299.3,3550.81,37603.35,24507.32,9868.07,1478.1,351.78
Denmark,6736.37,895.62,496.18,132.05,2577.04,1864.13,663.99,94.45,12.91
Finland,6400.48,2373.45,174.31,59.47,2050.27,1269.43,449.52,19.09,4.94
Iceland,332.29,62.03,18.52,0.67,98.76,123.25,29.06,0.0,0.0
Ireland,5581.81,470.71,556.47,481.74,2311.04,1007.55,540.73,127.62,85.95
Norway,7180.74,970.58,346.62,782.16,2671.19,1581.49,608.32,210.46,9.92
Sweden,12339.09,1480.72,675.63,273.23,5213.6,3077.1,1272.31,253.03,93.47
United Kingdom,57204.91,5863.85,4031.57,1821.49,22681.45,15584.37,6304.14,773.45,144.59
Western Europe,114595.07,14320.48,7422.53,3521.99,43894.97,30052.96,13712.74,1197.95,471.45
Austria,5548.63,807.33,350.81,175.56,2095.01,1467.28,550.77,85.44,16.43
Belgiun,6974.33,1030.32,483.24,165.01,2670.51,1726.64,701.21,189.82,7.58
France,32528.65,3836.21,2211.68,909.83,12714.04,8321.34,4116.96,323.09,95.5
Germany,42621.68,4940.03,2433.08,1312.38,17395.11,10933.46,5099.94,375.07,132.61
Luxembourg,292.03,37.06,18.94,8.77,112.02,76.12,34.76,3.27,1.09
Netherlands,15494.11,2272.26,1083.0,715.95,5007.81,3858.49,2282.2,129.63,144.77
Switzerland,11135.64,1397.27,841.78,234.49,3900.47,3669.63,926.9,91.63,73.47
Central/Eastern Europe,116740.48,18366.51,6945.47,2904.46,47428.14,27758.08,9486.44,3400.43,450.95
Belarus,701.81,171.01,34.41,7.44,269.82,152.9,55.93,9.4,0.9
Bulgaria,575.08,91.44,34.65,14.08,231.8,136.32,47.49,17.05,2.25
Czech Republic,3206.11,407.69,157.71,43.55,1364.4,823.13,342.08,50.38,17.17
Estonia,960.66,201.55,44.68,14.22,389.52,202.93,79.21,18.63,9.92
Hungary,1737.18,319.81,147.87,22.81,464.97,393.99,207.0,179.2,1.53
Kazakhstan,7672.68,1601.51,568.15,114.47,3110.69,1452.72,616.82,202.48,5.84
Kyrgyzstan,211.2,36.35,9.2,2.26,91.51,51.56,16.59,3.4,0.33
Latvia,796.54,209.48,26.89,4.08,361.36,140.22,47.55,6.35,0.61
Lithuania,1368.86,205.92,111.24,77.1,521.0,290.96,140.76,19.97,1.91
Poland,7161.26,507.83,295.56,373.33,3075.04,1446.85,795.95,655.35,11.35
Romania,1922.89,177.87,88.35,13.77,1098.65,384.01,109.04,49.43,1.77
Russian Federation,85324.09,13808.7,5084.49,2139.16,34251.34,21030.6,6509.23,2119.03,381.54
Slovakia,1141.35,157.22,69.41,18.78,510.32,269.98,101.13,13.24,1.27
Ukraine,2686.09,298.53,197.05,44.84,1115.82,663.97,314.64,41.45,9.79
Uzbekistan,1274.68,171.6,75.81,14.57,571.9,317.94,103.02,15.07,4.77
Southern/Medit. Europe,44190.34,5887.74,2482.55,1265.16,17483.77,10810.96,5263.75,838.84,157.57
Croatia,428.13,70.18,26.72,7.35,188.59,85.51,44.31,4.63,0.84
Cyprus,137.95,16.9,8.4,3.57,55.8,33.49,17.59,1.85,0.35
Greece,876.67,98.57,50.75,21.21,362.32,216.52,113.47,11.67,2.16
Israel,18760.21,2381.89,963.82,609.58,8043.23,4611.47,1773.94,317.04,59.24
Italy,10235.69,1478.28,558.61,224.41,3581.14,2515.93,1501.86,352.14,23.32
Portugal,1945.66,311.95,95.37,61.91,743.75,492.51,183.83,30.91,25.43
Serbia,436.72,57.94,24.99,13.05,170.48,106.55,54.01,8.23,1.47
Slovenia,583.31,144.01,23.85,30.56,220.15,110.26,48.66,4.97,0.85
Spain,7346.29,898.97,525.24,259.71,2749.85,1705.54,1123.2,58.82,24.96
Turkey,2434.53,334.81,135.06,12.62,983.55,696.15,213.06,42.4,16.88
Other in Europe,1005.18,94.24,69.74,21.19,384.91,237.03,189.82,6.18,2.07
America,70327.64,8963.28,5479.58,2527.51,26546.58,17795.09,7748.42,1058.02,209.16
Canada,14612.37,1648.28,678.62,403.14,5445.83,4365.57,1586.1,470.79,14.04
Mexico,1171.87,168.24,79.46,32.64,463.9,288.02,126.16,11.16,2.29
United States of America,48603.66,6017.51,4204.52,1951.06,18686.92,11783.46,5240.09,542.58,177.52
Argentina,1305.14,293.27,194.99,24.85,341.64,198.22,245.87,0.0,6.3
Brazil,2686.27,645.14,151.57,80.87,800.66,669.12,331.59,1.45,5.87
Chile,643.18,35.97,34.47,13.46,320.52,168.03,63.69,6.79,0.25
Colombia,329.77,25.8,14.83,0.0,137.81,88.77,44.44,17.32,0.8
Peru,298.32,38.87,23.18,10.73,112.28,74.54,33.11,4.69,0.92
Uruguay,144.5,19.3,11.48,5.02,53.64,36.26,16.16,2.2,0.44
Other in America,532.56,70.9,86.46,5.74,183.38,123.1,61.21,1.04,0.73
Middle East,43347.78,7015.66,2367.35,853.25,18545.82,8968.27,4264.35,942.8,390.28
Bahrain,2030.85,506.18,53.92,42.73,823.06,346.81,253.78,0.0,4.37
Egypt,991.57,109.55,29.96,2.05,520.94,313.93,15.14,0.0,0.0
Iraq,294.47,41.5,30.45,27.71,93.85,72.39,28.57,0.0,0.0
Jordan,699.58,123.19,39.45,12.98,292.88,147.37,60.61,17.72,5.38
Kuwait,6416.3,1165.43,463.34,167.39,2302.35,1719.96,490.17,101.84,5.82
Lebanon,241.57,42.72,13.72,4.43,101.83,50.48,20.81,5.89,1.69
Oman,5557.48,737.09,242.01,235.46,2220.62,973.32,975.43,115.32,58.23
Qatar,3403.11,337.7,123.8,16.0,1223.94,1232.66,445.57,0.0,23.44
Saudi Arabia,12493.16,1447.84,841.09,111.28,6627.13,1978.6,1151.02,93.21,242.99
U.A.E.,10036.37,2280.36,445.35,213.53,3800.98,1953.16,714.44,581.89,46.66
Yemen,544.81,96.04,30.26,5.94,243.94,122.87,39.98,4.08,1.7
Other in Middle East,638.51,128.06,54.0,13.75,294.3,56.72,68.83,22.85,0.0
Africa,5933.59,1217.01,336.22,99.95,2136.26,1082.33,588.41,442.86,30.55
Morocco,472.51,92.44,12.45,7.15,150.0,110.21,55.91,25.29,19.06
South  Africa,2835.63,488.36,166.57,60.22,1049.49,487.74,269.99,309.51,3.75
Ethiopia,642.94,241.37,18.64,7.92,187.11,109.49,72.71,0.0,5.7
Kenya,199.21,54.23,12.87,3.3,63.72,33.51,22.43,8.93,0.22
Mauritius,439.51,142.3,32.36,2.13,137.83,65.17,40.98,18.74,0.0
Other in Africa,1343.79,198.31,93.33,19.23,548.11,276.21,126.39,80.39,1.82
Grand Total,1249099.44,238369.9,91660.6,35374.57,442891.02,284799.26,123586.03,26047.65,6370.41
