Country,No_of_Arrivals,Length_of_Stay_Days,Spending_Per_Day_Baht,Spending_Per_Day_USD,Total_Receipts_Mil_Baht,Total_Receipts_Mil_USD
East Asia,3786050.0,9.61,4258.41,136.05,173385.37000000002,5539.47
Asean,1645994.0,9.18,3590.9700000000003,114.73,63176.12,2018.41
    Brunei,2444.0,10.02,6649.6500000000015,212.45,167.03999999999996,5.34
    Cambodia,164270.0,9.43,6111.77,195.26,10023.97,320.25
    Indonesia,96993.0,6.81,3875.3000000000006,123.81,2644.01,84.47
    Laos,382246.0,8.02,3769.2,120.42,13435.61,429.25
    Malaysia,612922.0,8.15,3017.45,96.4,17492.99,558.88
    Myanmar,54941.0,13.35,2305.5,73.66,2630.88,84.05
    Philippines,68359.0,18.49,2817.53,90.02,5870.39,187.55
    Singapore,132511.0,6.83,4797.57,153.28,4442.34,141.93
    Vietnam,131308.0,11.53,3732.2200000000007,119.24,6468.89,206.67
China,1302137.0,9.86,5073.36,162.09,69719.61000000002,2227.46
Hong Kong,131988.0,7.2,5686.37,181.67,5578.62,178.23
Japan,314044.0,10.96,3813.47,121.84,15044.149999999998,480.64
Korea,262313.0,10.12,4546.56,145.26,13131.73,419.54
Taiwan,114275.0,10.52,4019.15,128.41,5411.469999999999,172.89
Others,15299.0,12.0,6471.450000000002,206.76,1323.6699999999996,42.29
Europe,2051738.0,17.55,3244.23,103.65,132526.16,4234.06
Austria,34599.0,18.29,3425.28,109.43,2410.53,77.01
Belgium,25872.0,18.88,4004.72,127.95,2380.4,76.05
Denmark,62962.0,17.84,4573.65,146.12,5631.199999999999,179.91
Finland,57927.0,17.83,4455.320000000001,142.34,5021.130000000001,160.42
France,231614.0,18.05,2885.43,92.19,14764.92,471.72
Germany,231260.0,18.43,2805.78,89.64,12859.52,410.85
Italy,58327.0,17.07,3148.8899999999994,100.6,3817.66,121.97
Netherlands,50441.0,19.92,3207.7300000000005,102.48,3890.95,124.31
Norway,39082.0,20.28,4445.55,142.03,3959.64,126.51
Russia,586381.0,16.38,3309.74,105.74,34612.770000000004,1105.84
Spain,26499.0,16.47,3167.53,101.2,1668.06,53.29
Sweden,108921.0,20.06,3041.7700000000004,97.18,7274.1799999999985,232.4
Switzerland,54006.0,19.57,3776.03,120.64,4585.35,146.5
United Kingdom,215861.0,18.79,3048.61,97.4,15478.36,494.52
East Europe,211106.0,15.11,3122.51,99.76,10863.41,347.07
Others,56880.0,15.62,3244.71,103.66,3308.08,105.69
The Americas,311250.0,15.05,3338.7499999999995,106.67,17795.230000000003,568.54
Argentina,12461.0,15.66,2498.6100000000006,79.83,645.8499999999999,20.63
Brazil,18200.0,12.98,3942.95,125.97,999.0199999999999,31.92
Canada,55984.0,17.01,2975.2900000000004,95.06,3265.49,104.33
USA,208608.0,14.71,3474.0700000000006,110.99,11973.44,382.54
Others,15997.0,14.17,3332.7,106.48,911.43,29.12
South Asia,326888.0,9.84,3918.24,125.18,13976.649999999998,446.54
Bangladesh,22913.0,10.91,5848.21,186.84,1698.1400000000003,54.25
India,265223.0,9.32,3584.3300000000004,114.52,9744.329999999998,311.32
Nepal,10396.0,11.61,4302.14,137.45,566.0099999999999,18.08
Pakistan,11519.0,14.24,4057.16,129.62,805.31,25.73
Sri Lanka,8375.0,10.98,4324.52,138.16,458.07,14.63
Others,8462.0,13.16,5771.69,184.4,704.79,22.52
Oceania,138974.0,13.47,3666.58,117.14,7516.269999999999,240.14
Australia,123743.0,13.27,3567.04,113.96,6347.58,202.8
New Zealand,13773.0,15.66,4356.77,139.19,1122.13,35.85
Others,1458.0,7.51,3782.63,120.85,46.56,1.49
Middle East,85230.0,17.43,4173.07,133.32,8016.799999999998,256.13
Egypt,3084.0,20.23,2616.27,83.59,290.94,9.3
Israel,29568.0,17.45,3225.24,103.04,1973.47,63.05
Kuwait,11149.0,19.16,5717.83,182.68,1909.63,61.01
Saudi Arabia,6372.0,14.98,5869.87,187.54,637.8499999999999,20.38
U.A.E.,9550.0,17.1,5173.08,165.27,1053.82,33.67
Others,25507.0,16.7,3896.53,124.49,2151.09,68.72
Africa,25063.0,18.23,3191.76,101.97,2150.95,68.72
South  Africa,9692.0,18.98,3368.6800000000003,107.63,900.69,28.78
Others,15371.0,17.78,3073.36,98.19,1250.26,39.94
Grand Total,6725193.0,12.54,3738.38,119.44,355367.43,11353.59
