Country,Total_Receipts,Shopping,Entertainment,Sightseeing,Accommodation,Food_Beverage,Local_Transport,Miscellaneous
Spain,10276.64,1104.7,660.14,641.89,3839.64,2229.23,1513.73,287.31
Turkey,4652.98,780.84,455.16,88.0,1695.22,1084.38,448.28,101.1
Other in Europe,1395.6,163.29,66.06,33.18,657.58,289.07,182.48,3.94
America,82698.95,10464.36,5890.09,2893.22,33042.53,19370.83,9911.76,1126.16
Canada,13723.73,1002.16,791.49,619.41,5436.4,3825.49,1697.42,351.36
Mexico,1724.48,462.6,92.82,48.04,573.99,331.55,205.15,10.33
United States of America,58871.73,7558.93,4430.08,2002.4,23747.68,13512.01,6886.7,733.93
Argentina,1330.37,267.1,92.62,52.35,422.95,240.26,253.91,1.18
Brazil,3631.1,796.88,177.53,74.65,1431.38,683.13,460.48,7.05
Chile,872.69,92.7,85.66,26.78,381.54,197.17,82.92,5.92
Colombia,722.1,73.56,50.47,27.88,250.29,205.15,103.34,11.41
Peru,365.91,55.8,24.97,10.16,130.72,78.51,62.78,2.97
Uruguay,169.62,21.79,12.15,4.88,71.74,37.77,19.28,2.01
Other in America,1287.22,132.84,132.3,26.67,595.84,259.79,139.78,0.0
Middle East,59478.54,11654.12,3415.89,1820.05,22117.1,10529.6,5599.53,4342.25
Bahrain,2857.63,564.47,151.16,66.74,1498.94,313.47,259.39,3.46
Egypt,897.99,245.4,20.84,8.31,405.9,152.39,65.15,0.0
Iraq,368.76,38.66,17.86,15.03,124.02,136.08,37.11,0.0
Jordan,1203.67,238.7,68.7,36.93,439.57,224.23,116.74,78.8
Kuwait,8714.9,1495.32,757.13,175.77,2397.4,1799.23,675.84,1414.21
Lebanon,393.08,75.56,22.55,10.45,143.98,74.51,38.22,27.81
Oman,9675.52,1625.57,326.57,719.41,3576.51,1379.19,723.49,1324.78
Qatar,4279.94,594.3,144.56,20.04,1647.47,883.93,360.85,628.79
